REGION,SURROGATE,SURROGATE CODE,DATA SHAPEFILE,DATA ATTRIBUTE,WEIGHT SHAPEFILE,WEIGHT ATTRIBUTE,WEIGHT FUNCTION,FILTER FUNCTION,MERGE FUNCTION,SECONDARY SURROGATE,TERTIARY SURROGATE,QUARTERNARY SURROGATE,DETAILS,COMMENTS
USA,Population,100,cb_2014_us_county_500k_Poly,GEOID,ACS_2014_5YR_PopHousing,POP2014,,,,,,,Total population from Census 2014 blocks,
USA,Housing,110,cb_2014_us_county_500k_Poly,GEOID,ACS_2014_5YR_PopHousing,HU2014,,,,Population,,,Total Housing Units from Census 2014,
USA,Urban Housing,131,cb_2014_us_county_500k_Poly,GEOID,ACS_2014_5YR_PopHousing,NONE,,HUD_CODE=1,,Housing,Population,NLCD Land,,Housing unit density assigned to Census block groups 2010; Urban defined as Census block groups with density >= 1000 people/mi2
USA,Suburban Housing,132,cb_2014_us_county_500k_Poly,GEOID,ACS_2014_5YR_PopHousing,NONE,,HUD_CODE=2,,Housing,Population,NLCD Land,,Housing unit density assigned to Census block groups 2010; Suburban defined as Census block groups with density >=125 and <1000 people/mi2
USA,Rural Housing,134,cb_2014_us_county_500k_Poly,GEOID,ACS_2014_5YR_PopHousing,NONE,,HUD_CODE=4,,Housing,Population,NLCD Land,,Housing unit density assigned to Census block groups 2010; Rural defined as Census block groups with density < 6 people/mi2
USA,Housing Change,137,cb_2014_us_county_500k_Poly,GEOID,ACS_2014_5YR_PopHousing,HUCH14_10,,,,Housing,Population,NLCD Land,Housing change from 2010 to 2014 census blocks,
USA,Housing Change and Population,140,cb_2014_us_county_500k_Poly,GEOID,,,,,0.5*Housing Change+0.5*Population,Population,,,Combination of the change in housing between 2000 and 2010 and year 2010 population,
USA,Residential Heating - Natural Gas,150,cb_2014_us_county_500k_Poly,GEOID,ACS_2014_5YR_PopHousing,UTIL_GAS,,,,Housing,,,Number of Housing Units using Utility Gas for primary heating: ACS 5-year 2014 survey data,
USA,Residential Heating - Wood,160,cb_2014_us_county_500k_Poly,GEOID,ACS_2014_5YR_PopHousing,WOOD,,,,Housing,,,Number of Housing Units using Wood for primary heating: ACS 5-year 2014 survey data,
USA,Residential Heating - Distillate Oil,170,cb_2014_us_county_500k_Poly,GEOID,ACS_2014_5YR_PopHousing,FUEL_OIL,,,,Housing,,,Number of Housing Units using Fuel Oil for primary heating: ACS 5-year 2014 survey data,
USA,Residential Heating - Coal,180,cb_2014_us_county_500k_Poly,GEOID,ACS_2014_5YR_PopHousing,COAL,,,,Housing,,,Number of Housing Units using Coal for primary heating: ACS 5-year 2014 survey data,
USA,Residential Heating - LP Gas,190,cb_2014_us_county_500k_Poly,GEOID,ACS_2014_5YR_PopHousing,LP_GAS,,,,Housing,,,Number of Housing Units using Bottled Gas for primary heating: ACS 5-year 2014 survey data,
USA,Urban Restricted Road Miles,201,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,NONE,,"RdTypeChar=""04""",,Total Road Miles,,,HPMS 2013 road miles for restricted/primary roads in Census urbanized areas,
USA,Urban Restricted AADT,202,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,aadt,,RdTypeChar=04,,Total Road Miles,,,HPMS 2013 Annual Average Daily Traffic for restricted/primary roads in Census urbanized areas,
USA,Extended Idle Locations,205,cb_2014_us_county_500k_Poly,GEOID,2016_PIL_16Aug,trucks_med,,,,Total Road Miles,,,Potential idling locations for long-haul diesel trucks,
USA,Rural Restricted Road Miles,211,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,NONE,,RdTypeChar=02,,Total Road Miles,,,HPMS 2013 road miles for restricted/primary roads outside of Census urbanized areas,
USA,Rural Restricted AADT,212,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,aadt,,RdTypeChar=02,,Total Road Miles,,,HPMS 2013 Annual Average Daily Traffic for restricted/primary roads outside of Census urbanized areas,
USA,Urban Unrestricted Road Miles,221,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,NONE,,RdTypeChar=05,,Total Road Miles,,,HPMS 2013 road miles for unrestricted/secondary roads in Census urbanized areas,
USA,Urban Unrestricted AADT,222,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,aadt,,RdTypeChar=05,,Total Road Miles,,,HPMS 2013 Annual Average Daily Traffic for unrestricted/secondary roads in Census urbanized areas,
USA,Rural Unrestricted Road Miles,231,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,NONE,,RdTypeChar=03,,Total Road Miles,,,HPMS 2013 road miles for unrestricted/secondary roads outside of Census urbanized areas,
USA,Rural Unrestricted AADT,232,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,aadt,,RdTypeChar=03,,Total Road Miles,,,HPMS 2013 Annual Average Daily Traffic for unrestricted/secondary roads outside of Census urbanized areas,
USA,Total Road AADT,239,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,aadt,,"RdTypeChar=02,03,04,05",,Total Road Miles,,,HPMS 2013 AADT for all roads,
USA,Total Road Miles,240,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,NONE,,"RdTypeChar=02,03,04,05",,,,,HPMS 2013 road miles for all roads,
USA,Total Restricted Road Miles,241,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,NONE,,"RdTypeChar=02,04",,Total Road Miles,,,HPMS 2013 road miles for restricted roads,
USA,All Restricted AADT,242,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,aadt,,"RdTypeChar=02,04",,Total Road Miles,,,HPMS 2013 AADT for restricted roads,
USA,Total Unrestricted Road Miles,243,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,NONE,,"RdTypeChar=03,05",,Total Road Miles,,,HPMS 2013 road miles for unrestricted roads,
USA,All Unrestricted AADT,244,cb_2014_us_county_500k_Poly,GEOID,hpms2013_lcc,aadt,,"RdTypeChar=03,05",,Total Road Miles,,,HPMS 2013 AADT for unrestricted roads,
USA,Intercity Bus Terminals,258,cb_2014_us_county_500k_Poly,GEOID,NTAD_2014_ipcd,NONE,,BUS_INTERC = 1,,Commercial plus Industrial,Population,NLCD Land,National Transportation Atlas Database 2014 intercity bus service terminals,
USA,Transit Bus Terminals,259,cb_2014_us_county_500k_Poly,GEOID,NTAD_2014_ipcd,NONE,,BUS_TRANSI = 1,,Commercial plus Industrial,Population,NLCD Land,National Transportation Atlas Database 2014 transit bus service terminals,
USA,Total Railroad Miles,260,cb_2014_us_county_500k_Poly,GEOID,TIGER_2014_Rail,NONE,,,,Total Road Miles,Population,,https://www2.census.gov/geo/pdfs/maps-data/data/tiger/tgrshp2014/TGRSHP2014_TechDoc.pdf for definition.  FCCS codes are no longer used in TIGER lines.  Now it uses MTFCC codes.,
USA,NTAD Total Railroad Density,261,cb_2014_us_county_500k_Poly,GEOID,NTAD_2014_Rail,DENS,,"RAILTYPE=1,2,3",,Total Railroad Miles,Total Road Miles,Population,see: http://www.ctre.iastate.edu/research/bts_wb/cd-rom/spatial/ntad.htm for definition.,
USA,NTAD Class 1 2 3 Railroad Density,271,cb_2014_us_county_500k_Poly,GEOID,NTAD_2014_Rail,DENS,,"RAILTYPE=""1""",,NTAD Total Railroad Density,Total Railroad Miles,Total Road Miles,NTAD freight density of non-passenger railroads,
USA,NTAD Amtrak Railroad Density,272,cb_2014_us_county_500k_Poly,GEOID,NTAD_2014_Rail,DENS,,"RAILTYPE=""2""",,NTAD Total Railroad Density,Total Railroad Miles,Total Road Miles,NTAD freight density of Amtrak railroads,
USA,NTAD Commuter Railroad Density,273,cb_2014_us_county_500k_Poly,GEOID,NTAD_2014_Rail,DENS,,"RAILTYPE=""3""",,NTAD Total Railroad Density,Total Railroad Miles,Total Road Miles,NTAD freight density of Amtrak railroads,
USA,ERTAC Rail Yards,275,cb_2014_us_county_500k_Poly,GEOID,ERTAC_railyard_WRF,NOXPMTOT,,,,NTAD Total Railroad Density,Total Railroad Miles,Population,ERTAC derived locations of rail yards weighted by sum of PM2.5 and NOx emissions,
USA,Class 2 and 3 Railroad Miles,280,cb_2014_us_county_500k_Poly,GEOID,TIGER_2014_Rail,NONE,,"MTFCC=R1051,R1052",,Total Railroad Miles,Total Road Miles,Population,Railroad Miles of Class 2 and 3 railroads,
USA,NLCD Low Intensity Development,300,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,GRIDCODE=22,,Rural Housing,Population,NLCD Land,Locations of NLCD Low Intensity Development: 20%-49% Impervious,
